ID,Datetime,Selected,Probability,Median Return Rate,Expected Undelayed Return Rate (random trend),Expected Actual Return Rate (random trend),Matched Trend Count,Interrupted Trend,Interrupted Trend Undelayed Return Rate,Interrupted Trend Actual Return Rate,Hit Rate (after first 30 mins),MDD (all the time),Undelayed Fund Remaining (commns. and fees deducted),Fund Remaining (commns. and fees deducted),Commns. and Fees (2 contracts),yFin Minute Delay,Close Price 1,Close Price 2,Close Price 3,Close Price 4,Close Price 5,Close Price 6,Close Price 7,Close Price 8,Close Price 9,Close Price 10,Close Price 11,Close Price 12
249,2019-01-11 05:33:00 EST,3,0.8889,0.0011,0.0011,0.0013,9,true,-0.0002968349968461648,0.000369692663780273,0.012,0.0014,10038.374,10088.374,0.542,1,217.20744771544022,217.20246716916623,217.3712992462507,217.5316897194809,217.46415688864715,217.45571528479294,217.43883207708444,217.4442347035512,217.42194886937602,217.36285764239648,217.41350726552182,217.64987217344003
249,2019-03-05 04:50:00 EST,3,0.8889,0.0011,0.0011,0.0013,9,true,-0.0002968349968461648,0.000369692663780273,0.012,0.0014,10038.374,10088.374,0.542,1,217.12977051884258,217.19209473269035,217.0752368317258,216.97006472085772,216.98954103768511,216.99733156441613,217.05186525153292,217.16093262576646,217.21546631288325,217.09081788518776,217.1375610455736,217.46398411560116
249,2020-01-27 05:58:00 EST,3,0.8889,0.0011,0.0011,0.0013,9,true,-0.0002968349968461648,0.000369692663780273,0.012,0.0014,10038.374,10088.374,0.542,1,217.34722111476827,217.41436991021894,217.47480382612457,217.50166334430486,217.50166334430486,217.5956716579358,217.56209726021046,217.66282045338647,217.58895677839075,217.52852286248512,217.56881213975552,217.4983059045323
249,2020-05-04 07:04:00 EDT,3,0.8889,0.0011,0.0011,0.0013,9,true,-0.0002968349968461648,0.000369692663780273,0.012,0.0014,10038.374,10088.374,0.542,1,217.19264117353842,217.20037705618458,217.5330200099694,217.5098123620309,217.5330200099694,217.5523597165848,217.5229633625294,217.5716994232002,217.62585060172327,217.74196620024213,217.5098123620309,217.49434059673857
249,2022-08-16 06:38:00 EDT,3,0.8889,0.0011,0.0011,0.0013,9,true,-0.0002968349968461648,0.000369692663780273,0.012,0.0014,10038.374,10088.374,0.542,1,217.2827135801891,217.26491456792436,217.20388938301656,217.22423111131914,217.25982913584872,217.41239209811815,217.44799012264767,217.47428180647879,217.45307555472334,217.4886735792529,217.57004049246322,217.48363900149798
249,2022-08-29 09:22:00 EDT,3,0.8889,0.0011,0.0011,0.0013,9,true,-0.0002968349968461648,0.000369692663780273,0.012,0.0014,10038.374,10088.374,0.542,1,217.13295165299988,217.20169080429918,217.09533053813712,217.13832609798027,217.13338160859834,217.20550666023524,217.31030833735298,217.3499179968585,217.37480167711772,217.4822905767257,217.47154168676488,217.50486324564332
249,2023-07-18 05:36:00 EDT,3,0.8889,0.0011,0.0011,0.0013,9,true,-0.0002968349968461648,0.000369692663780273,0.012,0.0014,10038.374,10088.374,0.542,1,217.35682888923424,217.31654993228392,217.32788592615614,217.36165271641394,217.33753358051553,217.45330543282788,217.52566284052307,217.60284407539797,217.56425345796052,217.58354876667926,217.61253996802913,217.63178703847606
426,2016-09-01 08:54:00 EDT,3,0.7143,0.0006,0.0006,0.0007,7,true,0.0006915881046846607,0.0009390311090019319,0.0095,0.0014,10067.832,10127.832,0.542,1,217.18,217.205,217.165,217.175,217.13,217.08,217.05,217.11,217.101,217.085,217.09,217.09
426,2016-10-10 10:38:00 EDT,3,0.7143,0.0006,0.0006,0.0007,7,true,0.0006915881046846607,0.0009390311090019319,0.0095,0.0014,10067.832,10127.832,0.542,1,217.23510343711717,217.2551861868109,217.24514481196402,217.2702482490812,217.25016549938744,217.21502068742342,217.22004137484686,217.2250620622703,217.20999999999998,217.18991725030625,217.22004137484686,217.22004137484686
426,2017-04-18 09:30:00 EDT,3,0.7143,0.0006,0.0006,0.0007,7,true,0.0006915881046846607,0.0009390311090019319,0.0095,0.0014,10067.832,10127.832,0.542,1,217.2750886130137,217.20070162671234,217.22859674657536,217.2332459332192,217.25649186643838,217.35877397260273,217.3773707191781,217.33087885273972,217.33087885273972,217.35877397260273,217.32622966609588,217.3773707191781
426,2018-06-04 08:18:00 EDT,3,0.7143,0.0006,0.0006,0.0007,7,true,0.0006915881046846607,0.0009390311090019319,0.0095,0.0014,10067.832,10127.832,0.542,1,217.18232792195974,217.21395315400576,217.241625232046,217.32859462017254,217.36021985221856,217.38393877625305,217.3641730062243,217.32859462017254,217.36812616023005,217.36812616023005,217.36812616023005,217.33650092818402
426,2019-09-30 07:20:00 EDT,3,0.7143,0.0006,0.0006,0.0007,7,true,0.0006915881046846607,0.0009390311090019319,0.0095,0.0014,10067.832,10127.832,0.542,1,217.11480311509675,217.18070865079898,217.1953543253995,217.26118663272877,217.23013780257565,217.21732283730023,217.33448823410424,217.4291725203965,217.46168591800958,217.40771660710672,217.48826781740948,217.43876543725978
426,2021-10-21 06:21:00 EDT,3,0.7143,0.0006,0.0006,0.0007,7,true,0.0006915881046846607,0.0009390311090019319,0.0095,0.0014,10067.832,10127.832,0.542,1,217.1715744549113,217.16196806863917,217.2003936137278,217.1763776480474,217.19030690814205,217.1595664720711,217.1763776480474,217.21480319313608,217.3157182809252,217.33007982840212,217.32047344212992,217.33248142497015
426,2024-05-30 09:09:00 EDT,3,0.7143,0.0006,0.0006,0.0007,7,true,0.0006915881046846607,0.0009390311090019319,0.0095,0.0014,10067.832,10127.832,0.542,1,217.25966976008536,217.21413914667377,217.26794805343292,217.33210482687656,217.32552358366522,217.29692208014941,217.30933952017074,217.3217569601921,217.27622634678048,217.27001762676983,217.27001762676983,217.1934434133049
465,2016-09-01 09:33:00 EDT,3,0.7143,0.0005,0.0003,0.0002,7,true,-0.0002514515612854026,-0.0003390236326760589,0.0108,0.0014,10057.29,10117.29,0.542,1,217.28,217.265,217.23,217.26,217.26,217.23,217.22,217.18,217.145,217.2,217.2,217.229
465,2016-09-07 09:34:00 EDT,3,0.7143,0.0005,0.0003,0.0002,7,true,-0.0002514515612854026,-0.0003390236326760589,0.0108,0.0014,10057.29,10117.29,0.542,1,217.2351415169387,217.20137063960138,217.17653911214742,217.20633694509215,217.18150541763822,217.20137063960138,217.20633694509215,217.22620216705528,217.22620216705528,217.23613477803687,217.27586522196316,217.31559566588948
465,2017-04-20 08:35:00 EDT,3,0.7143,0.0005,0.0003,0.0002,7,true,-0.0002514515612854026,-0.0003390236326760589,0.0108,0.0014,10057.29,10117.29,0.542,1,217.20059168579445,217.21906112386299,217.1959743262773,217.20059168579445,217.256,217.23291320241438,217.23291320241438,217.2837041571028,217.37605134744538,217.37605134744538,217.37605134744538,217.38990342599678
465,2018-01-05 10:28:00 EST,3,0.7143,0.0005,0.0003,0.0002,7,true,-0.0002514515612854026,-0.0003390236326760589,0.0108,0.0014,10057.29,10117.29,0.542,1,217.24406744658646,217.248044964391,217.2520224821955,217.27191007121803,217.29179766024055,217.29100215667967,217.3037302136541,217.3156627670676,217.33157283828564,217.32759532048112,217.32759532048112,217.28384262463155
